id,user_id,order_date,status
1,20,2024-07-10,shipped
2,70,2024-09-28,placed
3,77,2024-06-14,returned
4,3,2024-02-27,completed
5,40,2024-05-02,placed
6,31,2024-10-17,placed
7,11,2024-09-05,placed
8,98,2024-09-29,shipped
9,17,2024-12-03,returned
10,71,2024-03-25,completed
11,68,2024-11-06,returned
12,28,2024-10-03,shipped
13,92,2024-06-08,returned
14,86,2024-11-28,completed
15,57,2024-09-21,returned
16,16,2024-05-06,shipped
17,9,2024-06-22,placed
18,76,2024-10-10,shipped
19,76,2024-04-22,placed
20,10,2024-12-28,placed
21,30,2024-02-04,placed
22,43,2024-02-06,return_pending
23,31,2024-05-22,returned
24,28,2024-10-03,shipped
25,93,2024-10-19,return_pending
26,61,2024-05-04,returned
27,53,2024-04-07,placed
28,13,2024-12-03,returned
29,46,2024-08-04,returned
30,60,2024-01-28,placed
31,8,2024-07-25,completed
32,14,2024-05-07,shipped
33,25,2024-10-01,returned
34,18,2024-08-04,shipped
35,36,2024-08-24,shipped
36,10,2024-08-14,return_pending
37,13,2024-01-26,return_pending
38,2,2024-02-17,shipped
39,22,2024-07-27,returned
40,62,2024-04-19,returned
41,8,2024-03-25,returned
42,1,2024-07-18,completed
43,59,2024-05-26,returned
44,90,2024-10-11,returned
45,20,2024-04-07,completed
46,28,2024-01-30,return_pending
47,95,2024-10-04,placed
48,96,2024-06-09,placed
49,7,2024-10-26,returned
50,65,2024-09-28,shipped
51,8,2024-09-17,placed
52,24,2024-02-05,return_pending
53,9,2024-12-11,shipped
54,52,2024-03-02,return_pending
55,32,2024-10-23,return_pending
56,6,2024-11-13,placed
57,54,2024-12-02,return_pending
58,73,2024-09-24,completed
59,34,2024-04-14,completed
60,31,2024-05-15,returned
61,17,2024-12-09,completed
62,59,2024-06-10,placed
63,2,2024-08-22,return_pending
64,73,2024-02-21,placed
65,69,2024-04-19,return_pending
66,34,2024-03-08,completed
67,9,2024-05-05,completed
68,37,2024-03-21,returned
69,70,2024-12-26,completed
70,79,2024-11-30,return_pending
71,2,2024-12-07,return_pending
72,39,2024-12-05,placed
73,18,2024-05-15,placed
74,14,2024-10-10,shipped
75,35,2024-05-24,return_pending
76,27,2024-06-24,shipped
77,88,2024-11-20,completed
78,65,2024-09-07,completed
79,7,2024-02-17,returned
80,36,2024-01-23,placed
81,43,2024-03-07,completed
82,21,2024-08-14,return_pending
83,91,2024-08-06,return_pending
84,2,2024-02-27,placed
85,89,2024-03-17,return_pending
86,5,2024-07-08,return_pending
87,71,2024-03-16,returned
88,17,2024-01-22,completed
89,47,2024-01-21,completed
90,27,2024-12-15,shipped
91,86,2024-02-22,completed
92,100,2024-10-13,returned
93,80,2024-03-20,shipped
94,21,2024-03-31,returned
95,4,2024-04-01,completed
96,53,2024-12-08,shipped
97,35,2024-03-22,placed
98,49,2024-01-20,returned
99,29,2024-04-12,returned
100,45,2024-06-05,shipped
101,29,2024-01-13,shipped
102,52,2024-06-17,completed
103,9,2024-05-22,completed
104,83,2024-09-17,returned
105,87,2024-10-01,completed
106,4,2024-02-29,completed
107,23,2024-10-24,completed
108,5,2024-02-25,return_pending
109,56,2024-06-25,completed
110,56,2024-11-06,return_pending
111,15,2024-07-16,return_pending
112,25,2024-05-10,placed
113,91,2024-08-11,placed
114,67,2024-10-02,shipped
115,47,2024-08-08,placed
116,86,2024-06-18,return_pending
117,41,2024-12-05,placed
118,93,2024-06-02,return_pending
119,40,2024-12-07,returned
120,42,2024-07-25,completed
121,71,2024-03-06,shipped
122,54,2024-12-06,returned
123,87,2024-03-30,return_pending
124,73,2024-06-03,returned
125,71,2024-01-01,completed
126,37,2024-04-17,returned
127,75,2024-11-06,completed
128,60,2024-08-14,returned
129,87,2024-04-19,return_pending
130,61,2024-03-27,placed
131,37,2024-09-20,return_pending
132,43,2024-02-17,shipped
133,87,2024-06-07,shipped
134,26,2024-03-16,placed
135,6,2024-05-05,returned
136,79,2024-02-07,returned
137,54,2024-11-18,return_pending
138,25,2024-12-22,returned
139,64,2024-07-23,shipped
140,19,2024-12-01,placed
141,97,2024-02-24,returned
142,29,2024-03-31,return_pending
143,60,2024-01-26,return_pending
144,32,2024-03-03,returned
145,18,2024-08-25,return_pending
146,72,2024-10-31,completed
147,97,2024-08-14,return_pending
148,93,2024-09-15,returned
149,71,2024-08-16,shipped
150,96,2024-08-31,returned
151,34,2024-05-06,completed
152,99,2024-09-23,returned
