id,order_id,payment_method,amount
1,27,coupon,18001
2,282,coupon,19376
3,225,gift_card,8457
4,15,coupon,47016
5,82,bank_transfer,36599
6,8,gift_card,6608
7,116,credit_card,30741
8,61,coupon,33161
9,150,bank_transfer,27729
10,248,gift_card,16473
11,234,coupon,25638
12,98,coupon,5075
13,142,gift_card,22774
14,260,bank_transfer,668
15,145,bank_transfer,38965
16,297,gift_card,10238
17,229,gift_card,23118
18,171,gift_card,30341
19,165,coupon,46211
20,123,gift_card,15806
21,211,credit_card,21352
22,243,gift_card,25802
23,78,gift_card,2926
24,65,bank_transfer,7077
25,226,credit_card,34968
26,234,credit_card,47846
27,74,gift_card,43411
28,80,credit_card,31268
29,136,bank_transfer,41345
30,204,credit_card,22032
31,274,gift_card,21252
32,250,credit_card,40965
33,36,coupon,41863
34,148,coupon,49440
35,47,gift_card,6951
36,52,gift_card,11402
37,154,credit_card,3514
38,167,credit_card,19726
39,184,bank_transfer,28725
40,75,coupon,35310
41,211,coupon,11640
42,90,credit_card,40443
43,196,coupon,33115
44,299,coupon,15716
45,237,bank_transfer,30618
46,131,credit_card,30990
47,148,coupon,5340
48,227,bank_transfer,39007
49,154,gift_card,45740
50,129,gift_card,20299
51,102,gift_card,32167
52,55,coupon,25493
53,293,bank_transfer,38170
54,152,bank_transfer,1937
55,203,bank_transfer,1030
56,290,credit_card,40241
57,255,bank_transfer,15581
58,181,coupon,42221
59,98,bank_transfer,44917
60,71,credit_card,41621
61,21,bank_transfer,29389
62,18,bank_transfer,48495
63,68,credit_card,19840
64,168,gift_card,12010
65,103,coupon,35850
66,188,bank_transfer,11283
67,132,gift_card,19842
68,174,credit_card,31192
69,39,coupon,49924
70,116,gift_card,37024
71,188,credit_card,26358
72,8,bank_transfer,35664
73,64,gift_card,24655
74,135,gift_card,42347
75,191,credit_card,44726
76,120,gift_card,2140
77,288,bank_transfer,40482
78,114,credit_card,42141
79,238,bank_transfer,43048
80,210,credit_card,9660
81,24,credit_card,20446
82,253,credit_card,6869
83,121,coupon,25970
84,233,bank_transfer,44440
85,277,gift_card,38991
86,80,gift_card,43420
